mode,stage1_type,aggregation_strategy,budget,top_m,grounded_success_rate,case_hit_rate,doc_hit_rate,support_sentence_recall,distractor_selection_rate
highway_pruned_global,hybrid,sum_score,512,5,40.00,70.00,40.00,10.07,90.13
highway_pruned_global,hybrid,sum_score,512,8,44.00,74.00,44.00,15.49,89.69
highway_pruned_global,hybrid,sum_score,768,5,40.00,70.00,40.00,10.07,90.35
highway_pruned_global,hybrid,sum_score,768,8,44.00,74.00,44.00,15.49,89.84
highway_pruned_global_bm25_max,bm25,max_score,512,5,60.00,78.00,60.00,27.83,83.65
highway_pruned_global_bm25_max,bm25,max_score,512,8,61.00,81.00,61.00,26.59,86.40
highway_pruned_global_bm25_max,bm25,max_score,768,5,60.00,78.00,60.00,27.83,83.62
highway_pruned_global_bm25_max,bm25,max_score,768,8,61.00,81.00,61.00,26.59,86.44
highway_pruned_global_bm25_stage1,bm25,bm25_doc_score + max_sentence_score,512,5,60.00,82.00,60.00,30.54,84.04
highway_pruned_global_bm25_stage1,bm25,bm25_doc_score + max_sentence_score,512,8,57.00,79.00,57.00,24.41,87.64
highway_pruned_global_bm25_stage1,bm25,bm25_doc_score + max_sentence_score,768,5,61.00,82.00,61.00,30.54,84.06
highway_pruned_global_bm25_stage1,bm25,bm25_doc_score + max_sentence_score,768,8,57.00,79.00,57.00,24.41,87.88
highway_pruned_global_bm25_top3avg,bm25,top3_avg_score,512,5,62.00,79.00,62.00,31.83,83.72
highway_pruned_global_bm25_top3avg,bm25,top3_avg_score,512,8,63.00,80.00,63.00,27.25,86.38
highway_pruned_global_bm25_top3avg,bm25,top3_avg_score,768,5,62.00,79.00,62.00,31.83,83.37
highway_pruned_global_bm25_top3avg,bm25,top3_avg_score,768,8,63.00,80.00,63.00,27.25,86.50
highway_pruned_global_hybrid_bm25doc_top3sent,hybrid,bm25_doc_score + top3_sentence_score,512,5,59.00,80.00,59.00,29.83,83.58
highway_pruned_global_hybrid_bm25doc_top3sent,hybrid,bm25_doc_score + top3_sentence_score,512,8,61.00,81.00,61.00,25.98,86.77
highway_pruned_global_hybrid_bm25doc_top3sent,hybrid,bm25_doc_score + top3_sentence_score,768,5,60.00,80.00,60.00,29.83,83.47
highway_pruned_global_hybrid_bm25doc_top3sent,hybrid,bm25_doc_score + top3_sentence_score,768,8,61.00,81.00,61.00,25.98,86.91
