mode,budget,top_m,grounded_success_rate,avg_input_tokens,correctness,attribution_accuracy
highway_pruned_global_bm25_max,512,3,80.00,391.8,80.00,80.00
highway_pruned_global_bm25_max,512,5,84.00,426.4,84.00,84.00
highway_pruned_global_bm25_max,512,8,80.00,463.2,80.00,80.00
highway_pruned_global_bm25_max,768,3,80.00,428.5,80.00,80.00
highway_pruned_global_bm25_max,768,5,84.00,480.3,84.00,84.00
highway_pruned_global_bm25_max,768,8,80.00,526.5,80.00,80.00
highway_pruned_global_bm25_max,1024,3,80.00,453.8,80.00,80.00
highway_pruned_global_bm25_max,1024,5,84.00,493.2,84.00,84.00
highway_pruned_global_bm25_max,1024,8,80.00,541.2,80.00,80.00
highway_pruned_global_bm25_stage1,512,3,72.00,388.3,72.00,72.00
highway_pruned_global_bm25_stage1,512,5,88.00,448.3,88.00,88.00
highway_pruned_global_bm25_stage1,512,8,84.00,479.2,84.00,84.00
highway_pruned_global_bm25_stage1,768,3,72.00,427.3,72.00,72.00
highway_pruned_global_bm25_stage1,768,5,88.00,505.4,88.00,88.00
highway_pruned_global_bm25_stage1,768,8,84.00,544.9,84.00,84.00
highway_pruned_global_bm25_stage1,1024,3,72.00,449.5,72.00,72.00
highway_pruned_global_bm25_stage1,1024,5,88.00,533.6,88.00,88.00
highway_pruned_global_bm25_stage1,1024,8,84.00,569.1,84.00,84.00
highway_pruned_global_bm25_top3avg,512,3,80.00,381.2,80.00,80.00
highway_pruned_global_bm25_top3avg,512,5,80.00,416.5,80.00,80.00
highway_pruned_global_bm25_top3avg,512,8,84.00,465.8,84.00,84.00
highway_pruned_global_bm25_top3avg,768,3,80.00,422.9,80.00,80.00
highway_pruned_global_bm25_top3avg,768,5,80.00,464.2,80.00,80.00
highway_pruned_global_bm25_top3avg,768,8,84.00,514.0,84.00,84.00
highway_pruned_global_bm25_top3avg,1024,3,80.00,449.2,80.00,80.00
highway_pruned_global_bm25_top3avg,1024,5,80.00,480.4,80.00,80.00
highway_pruned_global_bm25_top3avg,1024,8,84.00,523.1,84.00,84.00
highway_pruned_global_hybrid_bm25doc_top3sent,512,3,80.00,407.6,80.00,80.00
highway_pruned_global_hybrid_bm25doc_top3sent,512,5,88.00,440.0,88.00,88.00
highway_pruned_global_hybrid_bm25doc_top3sent,512,8,80.00,452.6,80.00,80.00
highway_pruned_global_hybrid_bm25doc_top3sent,768,3,80.00,448.5,80.00,80.00
highway_pruned_global_hybrid_bm25doc_top3sent,768,5,88.00,495.3,88.00,88.00
highway_pruned_global_hybrid_bm25doc_top3sent,768,8,80.00,514.4,80.00,80.00
highway_pruned_global_hybrid_bm25doc_top3sent,1024,3,80.00,472.0,80.00,80.00
highway_pruned_global_hybrid_bm25doc_top3sent,1024,5,88.00,515.9,88.00,88.00
highway_pruned_global_hybrid_bm25doc_top3sent,1024,8,80.00,524.9,80.00,80.00
