mode,top_m,budget,grounded_success_rate,case_hit_rate,doc_hit_rate,distractor_selection_rate
highway_pruned_global_bm25_max,3,512,80.00,92.00,80.00,70.38
highway_pruned_global_bm25_max,5,512,84.00,96.00,84.00,77.48
highway_pruned_global_bm25_max,8,512,80.00,92.00,80.00,81.27
highway_pruned_global_bm25_max,3,768,80.00,92.00,80.00,70.91
highway_pruned_global_bm25_max,5,768,84.00,96.00,84.00,76.83
highway_pruned_global_bm25_max,8,768,80.00,92.00,80.00,81.12
highway_pruned_global_bm25_max,3,1024,80.00,92.00,80.00,70.49
highway_pruned_global_bm25_max,5,1024,84.00,96.00,84.00,77.02
highway_pruned_global_bm25_max,8,1024,80.00,92.00,80.00,81.15
highway_pruned_global_bm25_stage1,3,512,72.00,92.00,72.00,72.63
highway_pruned_global_bm25_stage1,5,512,88.00,100.00,88.00,77.97
highway_pruned_global_bm25_stage1,8,512,84.00,96.00,84.00,81.43
highway_pruned_global_bm25_stage1,3,768,72.00,92.00,72.00,73.25
highway_pruned_global_bm25_stage1,5,768,88.00,100.00,88.00,77.27
highway_pruned_global_bm25_stage1,8,768,84.00,96.00,84.00,81.18
highway_pruned_global_bm25_stage1,3,1024,72.00,92.00,72.00,72.83
highway_pruned_global_bm25_stage1,5,1024,88.00,100.00,88.00,77.26
highway_pruned_global_bm25_stage1,8,1024,84.00,96.00,84.00,80.95
highway_pruned_global_bm25_top3avg,3,512,80.00,92.00,80.00,70.49
highway_pruned_global_bm25_top3avg,5,512,80.00,92.00,80.00,80.64
highway_pruned_global_bm25_top3avg,8,512,84.00,96.00,84.00,81.80
highway_pruned_global_bm25_top3avg,3,768,80.00,92.00,80.00,70.28
highway_pruned_global_bm25_top3avg,5,768,80.00,92.00,80.00,80.01
highway_pruned_global_bm25_top3avg,8,768,84.00,96.00,84.00,81.28
highway_pruned_global_bm25_top3avg,3,1024,80.00,92.00,80.00,70.17
highway_pruned_global_bm25_top3avg,5,1024,80.00,92.00,80.00,80.20
highway_pruned_global_bm25_top3avg,8,1024,84.00,96.00,84.00,81.40
highway_pruned_global_hybrid_bm25doc_top3sent,3,512,80.00,92.00,80.00,70.27
highway_pruned_global_hybrid_bm25doc_top3sent,5,512,88.00,100.00,88.00,76.15
highway_pruned_global_hybrid_bm25doc_top3sent,8,512,80.00,96.00,80.00,81.87
highway_pruned_global_hybrid_bm25doc_top3sent,3,768,80.00,92.00,80.00,70.43
highway_pruned_global_hybrid_bm25doc_top3sent,5,768,88.00,100.00,88.00,74.53
highway_pruned_global_hybrid_bm25doc_top3sent,8,768,80.00,96.00,80.00,81.62
highway_pruned_global_hybrid_bm25doc_top3sent,3,1024,80.00,92.00,80.00,70.09
highway_pruned_global_hybrid_bm25doc_top3sent,5,1024,88.00,100.00,88.00,75.01
highway_pruned_global_hybrid_bm25doc_top3sent,8,1024,80.00,96.00,80.00,81.82
