question_id,block_id,contains_gold_fact,attention_mass,rank,policy
Q0000,0,false,0.103408,2,HOT
Q0000,1,false,0.020857,8,HOT
Q0000,2,false,0.009046,37,COLD
Q0000,3,false,0.006481,48,COLD
Q0000,4,false,0.008457,41,COLD
Q0000,5,false,0.008489,40,COLD
Q0000,6,false,0.010163,33,COLD
Q0000,7,false,0.011233,29,COLD
Q0000,8,false,0.010172,32,COLD
Q0000,9,false,0.013422,20,WARM
Q0000,10,false,0.014718,16,HOT
Q0000,11,false,0.009220,36,COLD
Q0000,12,false,0.008937,38,COLD
Q0000,13,false,0.008005,44,COLD
Q0000,14,false,0.007651,45,COLD
Q0000,15,false,0.007451,46,COLD
Q0000,16,false,0.010938,30,COLD
Q0000,17,true,0.077703,3,HOT
Q0000,18,false,0.016761,13,HOT
Q0000,19,false,0.006280,49,COLD
Q0000,20,false,0.005985,50,COLD
Q0000,21,false,0.008445,42,COLD
Q0000,22,false,0.011404,28,COLD
Q0000,23,false,0.012513,23,WARM
Q0000,24,false,0.015246,15,HOT
Q0000,25,false,0.012024,27,COLD
Q0000,26,false,0.009924,35,COLD
Q0000,27,false,0.012125,24,WARM
Q0000,28,false,0.012103,25,COLD
Q0000,29,false,0.012527,22,WARM
Q0000,30,false,0.006486,47,COLD
Q0000,31,false,0.012079,26,COLD
Q0000,32,false,0.008192,43,COLD
Q0000,33,false,0.018339,10,HOT
Q0000,34,false,0.013954,18,WARM
Q0000,35,false,0.010606,31,COLD
Q0000,36,false,0.008543,39,COLD
Q0000,37,false,0.009951,34,COLD
Q0000,38,false,0.014574,17,WARM
Q0000,39,false,0.019738,9,HOT
Q0000,40,false,0.013477,19,WARM
Q0000,41,false,0.012677,21,WARM
Q0000,42,false,0.016142,14,HOT
Q0000,43,false,0.017966,12,HOT
Q0000,44,false,0.018162,11,HOT
Q0000,45,false,0.021123,7,HOT
Q0000,46,false,0.027662,6,HOT
Q0000,47,false,0.036494,5,HOT
Q0000,48,false,0.068197,4,HOT
Q0000,49,false,0.163950,1,HOT
Q0001,0,false,0.084557,2,HOT
Q0001,1,false,0.016663,14,HOT
Q0001,2,false,0.008229,39,COLD
Q0001,3,false,0.005737,48,COLD
Q0001,4,false,0.007510,46,COLD
Q0001,5,false,0.007503,47,COLD
Q0001,6,false,0.007925,42,COLD
Q0001,7,false,0.011171,29,COLD
Q0001,8,false,0.010135,32,COLD
Q0001,9,false,0.011622,27,COLD
Q0001,10,false,0.013127,25,COLD
Q0001,11,false,0.009407,36,COLD
Q0001,12,false,0.008010,40,COLD
Q0001,13,false,0.008435,38,COLD
Q0001,14,false,0.007916,43,COLD
Q0001,15,false,0.007724,44,COLD
Q0001,16,false,0.009833,33,COLD
Q0001,17,false,0.008002,41,COLD
Q0001,18,false,0.004577,49,COLD
Q0001,19,false,0.004415,50,COLD
Q0001,20,true,0.059758,4,HOT
Q0001,21,false,0.030477,6,HOT
Q0001,22,false,0.013717,21,WARM
Q0001,23,false,0.013219,24,WARM
Q0001,24,false,0.014479,18,WARM
Q0001,25,false,0.013311,23,WARM
Q0001,26,false,0.010784,30,COLD
Q0001,27,false,0.013052,26,COLD
Q0001,28,false,0.015006,17,WARM
Q0001,29,false,0.014333,19,WARM
Q0001,30,false,0.007582,45,COLD
Q0001,31,false,0.013942,20,WARM
Q0001,32,false,0.008922,37,COLD
Q0001,33,false,0.020585,10,HOT
Q0001,34,false,0.011354,28,COLD
Q0001,35,false,0.010215,31,COLD
Q0001,36,false,0.009556,35,COLD
Q0001,37,false,0.009691,34,COLD
Q0001,38,false,0.015842,15,HOT
Q0001,39,false,0.021185,9,HOT
Q0001,40,false,0.015170,16,HOT
Q0001,41,false,0.013404,22,WARM
Q0001,42,false,0.018447,11,HOT
Q0001,43,false,0.017117,13,HOT
Q0001,44,false,0.018126,12,HOT
Q0001,45,false,0.023471,8,HOT
Q0001,46,false,0.026220,7,HOT
Q0001,47,false,0.037062,5,HOT
Q0001,48,false,0.083639,3,HOT
Q0001,49,false,0.167838,1,HOT
Q0002,0,false,0.076959,3,HOT
Q0002,1,false,0.013122,23,WARM
Q0002,2,false,0.007333,40,COLD
Q0002,3,false,0.005436,48,COLD
Q0002,4,false,0.005790,47,COLD
Q0002,5,false,0.006560,44,COLD
Q0002,6,false,0.007976,37,COLD
Q0002,7,false,0.009931,32,COLD
Q0002,8,false,0.008827,35,COLD
Q0002,9,false,0.011457,28,COLD
Q0002,10,false,0.011635,26,COLD
Q0002,11,false,0.007320,41,COLD
Q0002,12,false,0.008874,34,COLD
Q0002,13,false,0.006381,46,COLD
Q0002,14,false,0.006929,42,COLD
Q0002,15,false,0.006559,45,COLD
Q0002,16,false,0.009801,33,COLD
Q0002,17,false,0.007503,39,COLD
Q0002,18,false,0.003737,50,COLD
Q0002,19,false,0.004034,49,COLD
Q0002,20,false,0.006578,43,COLD
Q0002,21,false,0.007840,38,COLD
Q0002,22,false,0.010203,30,COLD
Q0002,23,false,0.013757,21,WARM
Q0002,24,false,0.014356,18,WARM
Q0002,25,false,0.013845,20,WARM
Q0002,26,false,0.011762,25,COLD
Q0002,27,false,0.014484,17,WARM
Q0002,28,false,0.014968,16,HOT
Q0002,29,false,0.011461,27,COLD
Q0002,30,false,0.008221,36,COLD
Q0002,31,true,0.108423,2,HOT
Q0002,32,false,0.037130,5,HOT
Q0002,33,false,0.033536,6,HOT
Q0002,34,false,0.014197,19,WARM
Q0002,35,false,0.012540,24,WARM
Q0002,36,false,0.010000,31,COLD
Q0002,37,false,0.010323,29,COLD
Q0002,38,false,0.015405,15,HOT
Q0002,39,false,0.024473,9,HOT
Q0002,40,false,0.017133,14,HOT
Q0002,41,false,0.013362,22,WARM
Q0002,42,false,0.017300,12,HOT
Q0002,43,false,0.017286,13,HOT
Q0002,44,false,0.018552,11,HOT
Q0002,45,false,0.020726,10,HOT
Q0002,46,false,0.025138,8,HOT
Q0002,47,false,0.027777,7,HOT
Q0002,48,false,0.076248,4,HOT
Q0002,49,false,0.146815,1,HOT
Q0003,0,false,0.097369,2,HOT
Q0003,1,false,0.021393,9,HOT
Q0003,2,false,0.009872,34,COLD
Q0003,3,false,0.006879,48,COLD
Q0003,4,false,0.008580,42,COLD
Q0003,5,false,0.010255,30,COLD
Q0003,6,false,0.011019,28,COLD
Q0003,7,false,0.012449,23,WARM
Q0003,8,false,0.011204,27,COLD
Q0003,9,false,0.012689,21,WARM
Q0003,10,false,0.016020,15,HOT
Q0003,11,false,0.010636,29,COLD
Q0003,12,false,0.010077,32,COLD
Q0003,13,true,0.062463,4,HOT
Q0003,14,false,0.022035,7,HOT
Q0003,15,false,0.008575,43,COLD
Q0003,16,false,0.010122,31,COLD
Q0003,17,false,0.007164,47,COLD
Q0003,18,false,0.004374,50,COLD
Q0003,19,false,0.005000,49,COLD
Q0003,20,false,0.007590,46,COLD
Q0003,21,false,0.008928,40,COLD
Q0003,22,false,0.009859,35,COLD
Q0003,23,false,0.013967,18,WARM
Q0003,24,false,0.014062,17,WARM
Q0003,25,false,0.012446,24,WARM
Q0003,26,false,0.009340,39,COLD
Q0003,27,false,0.012609,22,WARM
Q0003,28,false,0.011921,25,COLD
Q0003,29,false,0.009776,36,COLD
Q0003,30,false,0.008242,45,COLD
Q0003,31,false,0.011573,26,COLD
Q0003,32,false,0.008552,44,COLD
Q0003,33,false,0.019310,11,HOT
Q0003,34,false,0.009923,33,COLD
Q0003,35,false,0.009530,37,COLD
