question_id,total_blocks,kept_blocks,dropped_blocks,estimated_kv_read_reduction
Q0000,50,16,34,0.680000
Q0001,50,16,34,0.680000
Q0002,50,16,34,0.680000
Q0003,50,16,34,0.680000
Q0004,50,16,34,0.680000
Q0005,50,16,34,0.680000
Q0006,50,16,34,0.680000
Q0007,50,16,34,0.680000
Q0008,50,16,34,0.680000
Q0009,50,16,34,0.680000
Q0010,50,16,34,0.680000
Q0011,50,16,34,0.680000
Q0012,50,16,34,0.680000
Q0013,50,16,34,0.680000
Q0014,50,16,34,0.680000
Q0015,50,16,34,0.680000
Q0016,50,16,34,0.680000
Q0017,50,16,34,0.680000
Q0018,50,16,34,0.680000
Q0019,50,16,34,0.680000
Q0020,50,16,34,0.680000
Q0021,50,16,34,0.680000
Q0022,50,16,34,0.680000
Q0023,50,16,34,0.680000
Q0024,50,16,34,0.680000
Q0025,50,16,34,0.680000
Q0026,50,16,34,0.680000
Q0027,50,16,34,0.680000
Q0028,50,16,34,0.680000
Q0029,50,16,34,0.680000
Q0030,50,16,34,0.680000
Q0031,50,16,34,0.680000
Q0032,50,16,34,0.680000
Q0033,50,16,34,0.680000
Q0034,50,16,34,0.680000
Q0035,50,16,34,0.680000
Q0036,50,16,34,0.680000
Q0037,50,16,34,0.680000
Q0038,50,16,34,0.680000
Q0039,50,16,34,0.680000
Q0040,50,16,34,0.680000
Q0041,50,16,34,0.680000
Q0042,50,16,34,0.680000
Q0043,50,16,34,0.680000
Q0044,50,16,34,0.680000
Q0045,50,16,34,0.680000
Q0046,50,16,34,0.680000
Q0047,50,16,34,0.680000
Q0048,50,16,34,0.680000
Q0049,50,16,34,0.680000
Q0050,50,16,34,0.680000
Q0051,50,16,34,0.680000
Q0052,50,16,34,0.680000
Q0053,50,16,34,0.680000
Q0054,50,16,34,0.680000
Q0055,50,16,34,0.680000
Q0056,50,16,34,0.680000
Q0057,50,16,34,0.680000
Q0058,50,16,34,0.680000
Q0059,50,16,34,0.680000
Q0060,50,16,34,0.680000
Q0061,50,16,34,0.680000
Q0062,50,16,34,0.680000
Q0063,50,16,34,0.680000
Q0064,50,16,34,0.680000
Q0065,50,16,34,0.680000
Q0066,50,16,34,0.680000
Q0067,50,16,34,0.680000
Q0068,50,16,34,0.680000
Q0069,50,16,34,0.680000
Q0070,50,16,34,0.680000
Q0071,50,16,34,0.680000
Q0072,50,16,34,0.680000
Q0073,50,16,34,0.680000
Q0074,50,16,34,0.680000
Q0075,50,16,34,0.680000
Q0076,50,16,34,0.680000
Q0077,50,16,34,0.680000
Q0078,50,16,34,0.680000
Q0079,50,16,34,0.680000
