question_id,category,mode,expected,answer,exact_match,numeric_preservation,gold_recall,active_truth,kept_blocks,input_tokens,ttft_ms
Q0036,A,predictor,01 March 2027,01 March 2027,True,True,True,True,13,1546,2085.661599994637
Q0036,A,random,01 March 2027,,False,False,False,False,13,1625,1200.020600001153
Q0036,A,dense,01 March 2027,01 March 2027,True,True,True,True,13,1571,2048.3162000018638
Q0036,A,hybrid,01 March 2027,01 March 2027,True,True,True,True,13,1571,2071.233700000448
Q0331,D,predictor,"23 January 2027 and $553,000","23 January 2027, $553,000",False,True,True,False,14,1600,3324.797299996135
Q0331,D,random,"23 January 2027 and $553,000",23 January 2027,False,False,False,False,14,1681,2133.673700001964
Q0331,D,dense,"23 January 2027 and $553,000","$553,000",False,False,True,False,14,1603,2209.699200000614
Q0331,D,hybrid,"23 January 2027 and $553,000","$553,000",False,False,True,False,14,1603,2004.6272999970824
Q0349,D,predictor,"17 November 2027 and $754,000",17 November 2027,False,False,True,False,14,1597,2050.3897000016877
Q0349,D,random,"17 November 2027 and $754,000","$754,000",False,False,False,False,14,1678,2081.130700003996
Q0349,D,dense,"17 November 2027 and $754,000","17 November 2027, $754,000",False,True,True,False,14,1603,2676.451300001645
Q0349,D,hybrid,"17 November 2027 and $754,000",754000,False,False,True,False,14,1603,1922.1710999991046
Q0470,E,predictor,17 August 2027,17 August 2027,True,True,True,True,14,1385,2219.124600000214
Q0470,E,random,17 August 2027,17 August 2027,True,True,True,True,14,1595,2112.9704999984824
Q0470,E,dense,17 August 2027,17 August 2027,True,True,True,True,14,1392,2250.1735999976518
Q0470,E,hybrid,17 August 2027,17 August 2027,True,True,True,True,14,1392,2291.7032999976072
Q0136,B,predictor,15 February 2027,15 February 2027,True,True,True,True,15,1768,2297.750999998243
Q0136,B,random,15 February 2027,,False,False,False,False,15,1859,6834.285400000226
Q0136,B,dense,15 February 2027,15 February 2027,True,True,True,True,15,1800,2255.98539999919
Q0136,B,hybrid,15 February 2027,15 February 2027,True,True,True,True,15,1800,2320.0309999956517
Q0343,D,predictor,"18 December 2027 and $723,000",18 December 2027,False,False,True,False,13,1473,2006.1474000031012
Q0343,D,random,"18 December 2027 and $723,000",ACTIVE,False,False,False,False,13,1550,1597.0366000037757
Q0343,D,dense,"18 December 2027 and $723,000","$723,000",False,False,True,False,13,1492,2138.159000001906
Q0343,D,hybrid,"18 December 2027 and $723,000","$723,000",False,False,True,False,13,1492,1984.920200004126
Q0107,B,predictor,10 May 2027,10 May 2027,True,True,True,True,14,1656,2213.9055999941775
Q0107,B,random,10 May 2027,,False,False,False,False,14,1731,1756.2503999943146
Q0107,B,dense,10 May 2027,10 May 2027,True,True,True,True,14,1667,2083.8229000000865
Q0107,B,hybrid,10 May 2027,10 May 2027,True,True,True,True,14,1667,4170.923400000902
Q0181,B,predictor,02 January 2027,02 January 2027,True,True,True,True,13,1548,2103.5010000050534
Q0181,B,random,02 January 2027,02 January 2027,True,True,True,True,13,1561,2143.8516000052914
Q0181,B,dense,02 January 2027,02 January 2027,True,True,True,True,13,1550,2062.705199998163
Q0181,B,hybrid,02 January 2027,02 January 2027,True,True,True,True,13,1550,2033.9471000042977
Q0189,B,predictor,20 February 2027,20 February 2027,True,True,True,True,12,1426,2016.4893999972264
Q0189,B,random,20 February 2027,,False,False,False,False,12,1505,1880.1342000006116
Q0189,B,dense,20 February 2027,20 February 2027,True,True,True,True,12,1442,2155.9209000042756
Q0189,B,hybrid,20 February 2027,20 February 2027,True,True,True,True,12,1442,2155.7274000006146
Q0083,A,predictor,25 September 2027,25 September 2027,True,True,True,True,13,1532,2031.474999996135
