question_id,category,context_blocks,mode,oom,exact_match,numeric_preservation,gold_recall,contradiction_accuracy,multi_fact_recall,kept_blocks,token_reduction_pct,ttft_ms,decode_ms,tokens_per_second,peak_vram_mb,est_kv_mb,max_batch_size,selector_latency_ms
Q0035,A,50,full,False,True,True,True,True,True,50,0.0,2737.8452999996625,1614.433199999894,16.724135752412533,8015.65966796875,204.08203125,1,0.0
Q0035,A,50,dense,False,True,True,True,True,True,13,74.0,135.74489999973594,1932.2956000000886,13.973017378913848,6609.625,55.72265625,3,0.0
Q0035,A,50,hybrid,False,True,True,True,True,True,13,74.0,121.36449999979959,1893.7527000002774,14.25740541518227,6609.625,55.72265625,3,0.0
Q0035,A,50,predictor,False,True,True,True,True,True,13,74.0,119.12529999972321,1739.2354999997224,15.524062152597685,6600.50732421875,54.80859375,3,31.650599999920814
Q0136,B,50,full,False,True,True,True,True,True,50,0.0,542.1814999999697,3216.457800000171,8.394327449282425,8022.421875,204.85546875,1,0.0
Q0136,B,50,dense,False,True,True,True,True,True,15,70.0,156.5600999997514,1916.3585000001149,14.089221823577573,6690.025390625,64.23046875,3,0.0
Q0136,B,50,hybrid,False,True,True,True,True,True,15,70.0,142.8523999998106,2295.2596999998605,11.763374750143369,6690.025390625,64.23046875,3,0.0
Q0136,B,50,predictor,False,True,True,True,True,True,15,70.0,145.96359999995911,2299.050999999963,11.743976101443785,6679.00732421875,63.10546875,3,21.675599999980477
Q0266,C,50,full,False,True,True,True,True,True,50,0.0,516.6105000002972,3017.9384000002756,8.946504673520684,7989.47900390625,201.48046875,1,0.0
Q0266,C,50,dense,False,True,True,True,True,True,14,72.0,129.8362000002271,2106.5168000000085,12.817367513992716,6618.87109375,56.7421875,3,0.0
Q0266,C,50,hybrid,False,True,True,True,True,True,14,72.0,131.34350000018458,1879.3511999997463,14.36666015378267,6618.87109375,56.7421875,3,0.0
Q0266,C,50,predictor,False,True,True,True,True,True,14,72.0,124.85730000025796,1873.2898999996905,14.413145557451871,6616.5703125,56.49609375,3,27.324099999987084
Q0356,D,50,full,False,False,False,True,False,True,50,0.0,522.1485000001849,4199.87059999994,11.190820974341607,7991.35009765625,202.21875,1,0.0
Q0356,D,50,dense,False,False,False,True,False,True,14,72.0,134.92660000019896,2843.878399999994,14.065298994499935,6628.54736328125,58.11328125,3,0.0
Q0356,D,50,hybrid,False,False,False,True,False,True,14,72.0,129.97450000011668,3257.2847999999794,12.280166597652208,6628.54736328125,58.11328125,3,0.0
Q0356,D,50,predictor,False,False,False,True,False,True,14,72.0,132.1554000001015,2172.4985000000743,12.428086831820172,6621.04296875,56.8828125,3,21.630500000355823
